latitude,longitude,city,state,country
5.5243165,7.4933142,Umuahia,Abia,Nigeria
5.1215877,7.3732655,Aba,Abia,Nigeria
5.3844563,7.8867446,Arochukwu,Abia,Nigeria
5.6432006,7.8398551,Ohafia,Abia,Nigeria
5.5570426,7.6304012,Amaeke,Abia,Nigeria
5.2868186,7.4165053,Isiala-Ngwa North,Abia,Nigeria
5.2049035,7.330053,Osisioma Ngwa,Abia,Nigeria
4.9165104,7.2437105,Ukwa West,Abia,Nigeria
9.2070251,12.4901854,Yola,Adamawa,Nigeria
10.2691511,13.2530558,Mubi,Adamawa,Nigeria
9.4535964,12.0318456,Numan,Adamawa,Nigeria
9.2716518,12.4528907,Jimeta,Adamawa,Nigeria
8.4605201,12.052549,Ganye,Adamawa,Nigeria
10.1558887,12.7368452,Gombi,Adamawa,Nigeria
10.2300928,12.9262851,Hong,Adamawa,Nigeria
5.0377396,7.9127945,Uyo,Akwa Ibom,Nigeria
5.1744472,7.7145152,Ikot Ekpene,Akwa Ibom,Nigeria
4.6467365,7.9429421,Eket,Akwa Ibom,Nigeria
4.807369,8.2377049,Oron,Akwa Ibom,Nigeria
5.0032857,7.7742702,Abak,Akwa Ibom,Nigeria
4.5739124,7.5788975,Ikot Abasi,Akwa Ibom,Nigeria
4.842716,7.8558357,Etinan,Akwa Ibom,Nigeria
6.2220043,7.0821162,Awka,Anambra,Nigeria
6.1329419,6.7923994,Onitsha,Anambra,Nigeria
6.0105192,6.9103455,Nnewi,Anambra,Nigeria
6.0256442,7.0770727,Ekwulobia,Anambra,Nigeria
6.0085842,7.1009488,Aguata,Anambra,Nigeria
5.8516439,6.8511814,Ihiala,Anambra,Nigeria
6.1462401,6.8297403,Nkpor,Anambra,Nigeria
10.3059966,9.8403959,Bauchi,Bauchi,Nigeria
11.6726385,10.2039477,Azare,Bauchi,Nigeria
11.313985,10.465234,Misau,Bauchi,Nigeria
12.2856589,10.348386,Katagum,Bauchi,Nigeria
11.0716348,9.5729115,Ningi,Bauchi,Nigeria
9.7560479,9.5562219,Tafawa Balewa,Bauchi,Nigeria
4.9514468,6.3491975,Yenagoa,Bayelsa,Nigeria
4.3077728,6.2455597,Brass,Bayelsa,Nigeria
5.1593251,6.1971218,Sagbama,Bayelsa,Nigeria
4.6901388,6.3212780,Ogbia,Bayelsa,Nigeria
4.5328134,6.4037428,Nembe,Bayelsa,Nigeria
4.9730872,6.1089697,Amassoma,Bayelsa,Nigeria
7.7321516,8.539144,Makurdi,Benue,Nigeria
7.3368424,9.0018424,Gboko,Benue,Nigeria
7.1908532,8.1323138,Otukpo,Benue,Nigeria
7.1657856,9.2841023,Katsina Ala,Benue,Nigeria
6.7835394,9.0695492,Vande Ikya,Benue,Nigeria
6.887796,9.2314492,Adikpo,Benue,Nigeria
11.8310981,13.1509672,Maiduguri,Borno,Nigeria
11.5218308,13.6883765,Bama,Borno,Nigeria
10.6116811,12.1918637,Biu,Borno,Nigeria
11.0897215,13.6883765,Gwoza,Borno,Nigeria
12.6729174,13.616014,Monguno,Borno,Nigeria
11.1560843,12.7566109,Damboa,Borno,Nigeria
4.9757165,8.3417006,Calabar,Cross River,Nigeria
5.9616504,8.7205877,Ikom,Cross River,Nigeria
5.8066339,8.0765288,Ugep,Cross River,Nigeria
6.6548369,8.7976937,Ogoja,Cross River,Nigeria
6.6693528,9.1622211,Obudu,Cross River,Nigeria
5.3189793,8.349917,Akamkpa,Cross River,Nigeria
6.2059295,6.6958939,Asaba,Delta,Nigeria
5.5493807,5.7665824,Warri,Delta,Nigeria
5.8750769,5.6931356,Sapele,Delta,Nigeria
5.5001866,5.9938339,Ughelli,Delta,Nigeria
6.2576112,6.1817726,Agbor,Delta,Nigeria
5.7108535,6.4413118,Kwale,Delta,Nigeria
5.5447242,6.2322852,Ozoro,Delta,Nigeria
6.3230608,8.1120116,Abakaliki,Ebonyi,Nigeria
5.891094,7.9306863,Afikpo,Ebonyi,Nigeria
6.1812521,8.0472004,Ezza,Ebonyi,Nigeria
6.3907251,7.8286368,Ishielu,Ebonyi,Nigeria
6.1323473,8.0219738,Onueke,Ebonyi,Nigeria
6.334986,5.6037465,Benin City,Edo,Nigeria
7.0668645,6.2747734,Auchi,Edo,Nigeria
6.7429546,6.1420947,Ekpoma,Edo,Nigeria
6.7139748,6.3279244,Uromi,Edo,Nigeria
7.2754704,6.107645,Igarra,Edo,Nigeria
6.6493305,6.3917654,Ubiaja,Edo,Nigeria
7.6124263,5.2371087,Ado Ekiti,Ekiti,Nigeria
7.4985030,5.2330491,Ikere-Ekiti,Ekiti,Nigeria
7.6650527,5.1301772,Igede-Ekiti,Ekiti,Nigeria
7.8119593,5.0676766,Ijero,Ekiti,Nigeria
7.4645092,5.4201377,Ise,Ekiti,Nigeria
7.7913136,5.5114564,Ikole,Ekiti,Nigeria
6.4482701,7.5138947,Enugu,Enugu,Nigeria
6.8429422,7.3732655,Nsukka,Enugu,Nigeria
6.2536784,7.2733783,Oji River,Enugu,Nigeria
6.3092002,7.5533757,Agbani,Enugu,Nigeria
6.4817502,7.394882,Udi,Enugu,Nigeria
6.3845781,7.2914214,Ezeagu,Enugu,Nigeria
9.0562646,7.4985259,Abuja,Federal Capital Territory,Nigeria
8.9508329,7.0767365,Gwagwalada,Federal Capital Territory,Nigeria
8.8797113,7.2293520,Kuje,Federal Capital Territory,Nigeria
9.2826357,7.3857553,Bwari,Federal Capital Territory,Nigeria
8.8402544,7.0538774,Kwali,Federal Capital Territory,Nigeria
8.4746755,6.9450688,Abaji,Federal Capital Territory,Nigeria
10.279142,11.1730615,Gombe,Gombe,Nigeria
10.0496349,11.1996859,Kumo,Gombe,Nigeria
10.8229629,10.7732854,Dukku,Gombe,Nigeria
9.8201485,11.3119092,Kaltungo,Gombe,Nigeria
9.8661603,11.2194405,Billiri,Gombe,Nigeria
5.5096455,7.0390904,Owerri,Imo,Nigeria
5.8358102,7.0196035,Orlu,Imo,Nigeria
5.8310207,7.3942063,Okigwe,Imo,Nigeria
5.7213174,6.8280655,Oguta,Imo,Nigeria
5.5379261,7.286868,Mbaise,Imo,Nigeria
5.7647948,7.0982581,Nkwerre,Imo,Nigeria
11.7159714,9.3556736,Dutse,Jigawa,Nigeria
12.4572315,10.040849,Hadejia,Jigawa,Nigeria
12.6226118,9.3839598,Gumel,Jigawa,Nigeria
12.6532933,8.4120775,Kazaure,Jigawa,Nigeria
12.2852094,9.4729757,Ringim,Jigawa,Nigeria
11.4530865,9.475603,Birnin Kudu,Jigawa,Nigeria
10.503644,7.4337395,Kaduna,Kaduna,Nigeria
11.1047395,7.7206606,Zaria,Kaduna,Nigeria
9.5848982,8.2924213,Kafanchan,Kaduna,Nigeria
9.607412,8.3882723,Kagoro,Kaduna,Nigeria
10.4164961,8.6813759,Saminaka,Kaduna,Nigeria
9.8734418,7.9551999,Kachia,Kaduna,Nigeria
12.0021794,8.5919561,Kano,Kano,Nigeria
11.7942415,8.8390321,Wudil,Kano,Nigeria
12.2312766,8.2404397,Bichi,Kano,Nigeria
11.862577,8.9990801,Gaya,Kano,Nigeria
11.5610083,8.581717,Rano,Kano,Nigeria
11.531421,8.9548963,Sumaila,Kano,Nigeria
12.9815608,7.6222665,Katsina,Katsina,Nigeria
